QUEST_20150317_000001	กรุณาเลือกผู้ใช้ที่ต้องรับการอัพเดทเควส	퀘스트 수정이 필요한 유저를 선택해주세요.				
QUEST_20150317_000002	Statue of Goddess Vakarine	여신 바카리네의 상				
QUEST_20150317_000003	กรุณาเลือกพื้นที่	지역을 선택해주세요.				
QUEST_20150317_000004	เลือก	선택				
QUEST_20150317_000005	กรุณาเลือกไอเทม	아이템을 선택해주세요.				
QUEST_20150317_000006	กรุณาเลือกกลุ่ม	그룹 선택				
QUEST_20150317_000007	กรุณาเลือกกลุ่ม cheat start	치트 스타트 그룹을 선택하세요.				
QUEST_20150317_000008	กรุณาเลือกโซน	존 선택				
QUEST_20150317_000009	กรุณาเลือกโซนเริ่มต้น	시작할 존을 선택하세요.				
QUEST_20150317_000010	กรุณาเลือกอาชีพขั้นต่อไป	전직 선택				
QUEST_20150317_000011	กรุณาเลือกอาชีพที่ต้องการ	원하시는 직업을 선택하세요.				
QUEST_20150317_000012	Bokor Master	보코르 마스터				
QUEST_20150317_000013	ข้าเข้าใจแล้วว่าเจ้าอยากจะรู้เพิ่มเติมเกี่ยวกับแผ่นหินนี้{nl}หากเจ้าต้องการ ข้าจะแสดงให้เจ้าเห็นถึงความประสงค์ของผู้ที่สร้างมันขึ้นมา	이 석판이 어떤 물건인지 궁금하시다고요.{nl}원하신다면 이 석판을 만든 자의 의지를 환영으로 보여드리지요.				
QUEST_20150317_000014	Goddess Laima	여신 라이마				
QUEST_20150317_000015	กว่าที่ท่านจะได้รับข้อความนี้ เวลาก็ได้ผ่านมาเนิ่นนานแล้ว{nl}ข้าคือเทพธิดาแห่งโชคชะตาและปัญญา นามของข้าคือ Laima {nl}	당신이 이 계시를 보고 있을 땐 이미 오랜 시간이 흐른 뒤이겠지요.{nl}저는 운명과 예지의 여신 라이마 입니다.{nl}				
QUEST_20150317_000016	600 ปีก่อน ข้าได้มองเห็นนิมิตอันเลวร้าย เป็นช่วงเวลาแห่งความตายและทุกข์เข็ญ{nl}หากท่านเองก็มองเห็นมันเช่นกันข้าเกรงว่าช่วงเวลานั้นได้มาถึงแล้ว{nl}	600년 전에 이 계시를 만들면서 저는 많은 슬픔과 죽음을 보았습니다.{nl}당신이 이 계시를 보았다는 것은 제가 예지한 모든 일이 현실로 벌어졌겠지요.{nl}				
QUEST_20150317_000017	พวกปีศาจได้เริ่มต้นสิ่งที่เป็นมหาภัยพิบัติ และหลังจากนั้นเหล่าเทพธิดาทุกองค์ก็หายสาบสูญ{nl}ข้ารู้ดีว่ามันจะเกิดขึ้นและได้ทำทุกวิถีทางเพื่อที่จะหยุดยั้งมัน แต่ด้วยพลังที่ข้ามีนั้นไม่มากพอจะฝืนโชคชะตา	이미 첫 번째 재앙은 마족에 의해 일어났고 여신들은 모두 자취를 감추었을 것입니다.{nl}저는 이 모든 것을 미리 알았고, 막으려 노력했지만 제 힘은 너무나도 미약했습니다.{nl}				
QUEST_20150317_000018	ข้าเดินทางรอนแรมผ่านความฝันและนิมิตมากมายเพื่อค้นหาหนทางแก้ไขวิกฤต{nl}และสิ่งที่ข้าเห็นที่ปลายสุดของนิมิตเหล่านั้นคือท่าน… ผู้กอบกู้	전 해답을 찾기 위해 기나긴 예지의 꿈 속을 거닐었습니다.{nl}그 꿈의 끝은 바로 당신.. 구원자였습니다.{nl}				
QUEST_20150317_000019	แต่โชคไม่เข้าข้าง ข้าไม่สามารถอยู่ที่ใดเป็นหลักแหล่งได้ในขณะที่พวกปีศาจยังออกตามล่าข้าอยู่ ด้วยพวกมันล่วงรู้ถึงอำนาจแห่งการพยากรณ์ของข้า{nl}ข้าถูกบังคับให้ต้องหลบซ่อน จนกว่าจะถึงเวลาที่ท่านปรากฏตัว	하지만 예지의 힘을 가진 절 마족이 가만 둘 리가 없었기에{nl}당신이 나타날 때 까지 어떻게든 몸을 피해야만 했습니다.{nl}				
QUEST_20150317_000020	ข้าได้แบ่งพลังชิวิตของข้าและสถิตมันลงไปในข้อความจำนวนมากมาย{nl}ข้อความที่ข้าสร้างขึ้นอย่างลับๆ ตลอดระยะเวลาหลายร้อยหลายพันปี	저는 스스로를 나누어 여러 개의 계시에 깃들기로 결심했습니다.{nl}왕국을 떠돌며 계시를 만들어 감추는 일은 천 년 동안이나 계속되었지요.{nl}				
QUEST_20150317_000021	ผู้กอบกู้เอ๋ย หากท่านสามารถช่วยให้ข้าได้ร่างที่แท้จริงของข้ากลับคืนมา เราจะสามารถร่วมมือกันหยุดยั้งแผนอันชั่วร้ายของพวกปีศาจ{nl}ท่านต้องตามหาชิ้นส่วนแห่งคำทำนายที่ข้าได้ส่งพวกมันให้กระจัดกระจายออกไปและซ่อนเอาไว้	구원자여.{nl}제가 완전한 모습을 되찾고 마족의 흉계를 멈추려면 {nl}모든 시간의 축에 감추어 놓은 계시를 전부 찾아 주셔야 합니다.				
QUEST_20150317_000022	ภารกิจอันศักดิ์สิทธิ์นี้ช่างหนักหนานัก ข้ารู้ แต่นี่เป็นสิ่งที่ท่านมิอาจหลีกเลี่ยงได้{nl}ไม่แน่ว่า ในช่วงเวลาที่ท่านกำลังต้องฝ่าฟันความยากลำบาก อาจจะมีบางสิ่งเกิดขึ้นก็ได้	그대에게 지워진 신성한 사명의 무게가 어깨를 짓누르겠지요.{nl}어쩌면 수 많은 시련과 고난의 진흙탕 속을 뒹굴게 될지도 모릅니다.{nl}				
QUEST_20150317_000023	แต่ไม่ว่าจะอย่างไร มีเพียงพวกเราเท่านั้นที่จะสามารถช่วยเหลือโลกนี้ได้	하지만 당신만이 저와 이 세계를 구할 수 있어요.{nl}				
QUEST_20150317_000024	ข้าได้ส่งมอบชิ้นส่วนแห่งคำทำนายชิ้นต่อไปให้แก่ Paladin คนแรกแล้ว{nl}เขาจะรอท่านอยู่ที่สวนดอกไม้ที่อยู่สูงที่สุด	다음 계시는 초대 팔라딘에게 맡겨 두었습니다.{nl}가장 드높은 화원에서 당신을 기다리겠습니다.				
QUEST_20150317_000025	รัศมีแห่งความมืดนี้ช่างให้ความรู้สึกหดหู่ยิ่งนัก…{nl}แต่หากว่าสิ่งนี้เป็นข้อความจากองค์เทพธิดา Laima จริงๆ แล้วล่ะก็ ข้าคงต้องบอกว่ามันเป็นสิ่งที่น่าอัศจรรย์ยิ่ง	사악한 힘이나 의지는 전혀 느껴지지 않는군요.{nl}그렇다면 이 계시가 진짜 라이마 여신의.. 그저 놀랍습니다.				
QUEST_20150317_000026	เอาล่ะ ตอนนี้เจ้าควรรีบไปพบ Sir Uska ได้แล้ว{nl}เขาจะบอกเจ้าเองว่าเจ้าต้องไปที่ใดต่อ{nl}ขอให้องค์เทพธิดาคุ้มครองเจ้า…	자, 어서 우스카님께 돌아가세요.{nl}그분이라면 당신이 어디로 가야 할지를 알려줄 겁니다.{nl}당신의 앞날에 여신의 축복이 깃들기를..				
QUEST_20150317_000027	กรุณาเลือก Smart Gen ที่ท่านต้องการ	원하는 스마트젠을 선택하세요.				
QUEST_20150317_000028	William	윌리엄				
QUEST_20150317_000029	ค่าจ้างคือ 100 silver{nl}ถือว่าเป็นราคาที่ถูกมากเลยนะถ้าเทียบกับที่เจ้าจะต้องเดินทางฝ่าฝูงสัตว์ประหลาดไปน่ะ	이용 요금은 100실버입니다.{nl}몬스터 한복판을 헤쳐가느니 차라리 이게 싸죠.				
QUEST_20150317_000030	Cyneburg	캔버그				
QUEST_20150317_000031	เยี่ยม! เงินครบตามจำนวน{nl}นี่จะเป็นค่าแรงงานและค่าใช้จ่ายอื่นๆ สำหรับดำเนินการ	이용 요금은 100실버입니다.{nl}운영비, 인건비 등 여러 가지가 포함된 금액이지요.				
