QUEST_LV_0300_20150323_000001	พวกเราออกเดินทางจากกองบัญชาการมาถึงที่นี่ก็เพื่อให้การสนับสนุนอัศวินแห่ง Kaliss{nl}หากคุณมีสิ่งใดสงสัยสามารถหาคำตอบได้จากกองบัญชาการที่จัตุรัส Verkti	We were deployed here from headquarters to support the Knights of Kaliss.{nl}If you want to know more, head over to our headquarters at Verkti Square.	칼리스 기사단을 지원하기 위해 본부에서 떨어져 나와 이런 곳에 있습니다.{nl}궁금한 것이 있다면 베르크티 광장에 있는 본부 쪽으로 알아보시기 바랍니다.
QUEST_LV_0300_20150323_000002	แต่เดิมฉันเป็นคนค้าขาย {nl}หลังจากวัน Medzio Diena ฉันตัดสินใจพักอยู่ที่นี่เพราะคิดว่าจะปลอดภัยมากที่สุด{nl}แต่ดูเหมือนจะคิดผิด	I've been a merchant all my life. {nl}After Medzio Diena, this seemed like the safest place to be, so I settled here... {nl}But I guess I was wrong.	전 원래 행상인이었습죠.{nl}신수의 날 이후 여기가 제일 안전한 것 같아서 정착했는데.. 아니었나봅니다요.
QUEST_LV_0300_20150323_000003	ฉันได้พบกับเหล่า Revelator มากมายระหว่างการเดินทาง{nl}ในความคิดของฉันท่านเหล่านั้นมีบางสิ่งพิเศษซ่อนอยู่ไม่ได้มีแต่ความแข็งแกร่งเท่านั้น	I've met many Revelators during my travels.{nl}In my opinion... there is something special about them, and it's not just their strength.	여기저기 떠돌아다니면서 계시자라는 사람들을 많이 만나 봤습죠.{nl}제 생각엔.. 계시자님이 특별한 건 단지 강하기 때문만은 아닐 거라는 겁니다요.
QUEST_LV_0300_20150323_000004	ฉันไม่เคยโทษเทพเจ้าหรือเหล่านักบวช{nl}แต่ฉันคิดว่ามันคงมากเกินไปที่จะรอและเชื่อเพียงเพราะคำบอกเล่า	I'm not blaming the goddesses and the priests.{nl}But I think it's too much when they tell us to just trust them and wait.	여신과 사제님들을 탓하자는 건 아니야.{nl}하지만 무작정 믿고 기다리라는 건 좀 너무한 것 같아.{nl}
QUEST_LV_0300_20150323_000005	ผนึกที่อยู่ในหมู่บ้านมันถูกผนึกเอาไว้ นั่นแหละเหตุผลที่ทำมันถึงถูกเรียกว่าผนึก{nl}ฉันคิดว่านั่นแหละคือสิ่งที่พวกนักบวชใช้เพื่อสร้างความน่ากลัวให้พวกเรา	The seals in the village are supposed to be sealed - that's why they're called seals, {nl}so what's the big deal? The priests are just trying to scare us for no reason.	마을에 있는 봉인이 닫혀 있으니까 봉인이지 무슨 대수겠어?{nl}사제님들이 괜히 겁을 주는 거라고 생각해.
QUEST_LV_0300_20150323_000006	พวกนักบวชไม่อยากให้ใครรู้ว่าผนึกในหมู่บ้านมีความสำคัญยังไง{nl}พวกเขาคิดแต่เพียงว่าการเสียสละตัวเองแบบนั้นเป็นหน้าที่{nl}และทุกสิ่งที่ทำนั้นเป็นสิ่งที่ถูกต้องแล้ว	The priests don't want everyone to know how important the seals in the village are.{nl}They think that they can just take the burden upon themselves, {nl}and then everything will be alright.	사제님들은 마을에 있는 봉인이 얼마나 중요한 건지 알게 되길 원치 않으세요.{nl}자신들이 희생하면 그걸로 된 거라면서요.
QUEST_LV_0300_20150323_000007	มีนักบวชบางคนต้องการเปิดเผยเรื่องราวอย่างจริงใจต่อชาวบ้าน{nl}เพราะอย่างนี้ ถ้ามีเรื่องราวใหญ่โตเกิดขึ้น	Some of the priests want to be truthful and open with the villagers.{nl}At this rate, if something really bad happens...	사제님들이 마을사람들과 좀 더 솔직한 이야기를 나누었으면 하는 마음도 있어요.{nl}이러다 정말 큰일이라도 벌어진다면..
QUEST_LV_0300_20150323_000008	พลังชั่วร้ายทำให้ป่าเสื่อมโทรมและทำให้สิ่งมีชีวิตไม่สามารถอาศัยอยู่ได้{nl}และนั่นคือปัญหาใหญ่ที่สุดที่หมู่บ้านของเรากำลังเผชิญอยู่	The evil energy is making this forest decay into a lifeless place.{nl}It is easily the biggest problem this village is facing.	사악한 기운은 숲을 썩게 만들어 생명이 살아갈 수 없는 땅으로 만들어 버립니다.{nl}저희 마을이 품고 있는 가장 큰 문제이기도 하지요.
QUEST_LV_0300_20150323_000009	ท่านเทพธิดา{nl}ผนึกของหมู่บ้านจะไม่เป็นไรจริงๆ ใช่ไหม	Goddess...{nl}Please tell me the village's seal is really okay...	여신이시여..{nl}마을의 봉인은 정말 괜찮은 걸까요..
QUEST_LV_0300_20150323_000010	ต่อไปนั้นพวกปีศาจคงจะเข้าจู่โจมผนึกและโจมตีเข้ามาอย่างต่อเนื่อง{nl}ไม่รู้ว่าจะต้านทานอยู่ได้นานเท่าไรในเมื่อเทพธิดา Austeja ยังคงสูญหาย	Demons will continue to target the seal and attack endlessly.{nl}With Goddess Austeja still missing, how long will we be able to last...	앞으로도 봉인을 노리고 마족들이 끊임없이 공격해오겠지요.{nl}아우스테야 여신께서 부재중이신 상태로 언제까지 버틸 수 있을지..
