UI_20150317_000001	{@st41b}เรียนรู้แอตทริบิวต์{nl}จาก Master ของแต่ละอาชีพ{/}	{@st41b}각 클래스 마스터들에게서{nl}특성을 배울 수 있습니다.{/}				
UI_20150317_000002	{@st43}รายชื่อแอตทริบิวต์ {/}	{@st43}특성 목록{/}				
UI_20150317_000003	{@st59}ปิด{/}	{@st59}특성리스트를 닫습니다{/}				
UI_20150317_000004	{@st43}เรียนรู้แอตทริบิวต์{/}	{@st43}특성 배우기{/}				
UI_20150317_000005	{@st59}ปิด{/}	{@st59}특성창을 닫습니다{/}				
UI_20150317_000006	{@st41b}Silver{/}	{@st41b}소지금{/}				
UI_20150317_000007	ความสำเร็จของฉัน	나의 업적				
UI_20150317_000008	อันดับของเซิร์ฟเวอร์	서버 랭킹				
UI_20150317_000009	{@st59}มีกิจกรรมที่ไม่ทราบล่วงหน้าให้เข้าร่วม{/}	{@st59}돌발이벤트가 있습니다{/}				
UI_20150317_000010	{@st59}มีข้อความช่วยเหลือใหม่{/}	{@st59}도움말이 있습니다{/}				
UI_20150317_000011	{@st41}คุณแน่ใจหรือว่าต้องการสร้างลูกธนูชนิดนี้?{/}	{@st41}어떤 종류의 화살을 제작하겠습니까?{/}				
UI_20150317_000012	{@st41b}ครั้งเดียว{/}	{@st41b}한번만{/}				
UI_20150317_000013	{@st41b}ทั้งหมด{/}	{@st41b}모두{/}				
UI_20150317_000014	{@st41b}หยุดชั่วคราว{/}	{@st41b}중단{/}				
UI_20150317_000015	{@st43}บันทึกการผจญภัย{/}	{@st43}모험일지{/}				
UI_20150317_000016	{@st43}ระบบประมูลไอเทม{/}	{@st43}경매장{/}				
UI_20150317_000017	{@st59}ปิด{/}	{@st59}경매장을 닫습니다{/}				
UI_20150317_000018	{@st41b}ไอเทมที่ขาย  : ×%s, ไอเทมที่ยังไม่ได้ขาย : ×%s{/}	{@st41b}낙찰물품 : %s개,  유찰물품 : %s개{/}				
UI_20150317_000019	{@st43}{s22}การประมูลไอเทม{/}	{@st43}{s22}아이템 경매{/}				
UI_20150317_000020	{@st59}ปิด{/}	{@st59}퀘스트 정보를 닫습니다{/}				
UI_20150317_000021	Availest	아베일레스트				
UI_20150317_000022	{@st41b}เวลาคงเหลือ	{@st41b}남은 시간				
UI_20150317_000023	3 ชั่วโมง 16 นาที	3시간 16분				
UI_20150317_000024	{@st41b}ราคาเริ่มต้น	{@st41b}시작가				
UI_20150317_000025	{@st41b}ประมูล	{@st41b}입찰수				
UI_20150317_000026	{@st41b}ราคาขณะนี้	{@st41b}현재가				
UI_20150317_000027	{@st41b}ราคาประมูล	{@st41b}입찰금				
UI_20150317_000028	{@st41b}ราคาประมูลขั้นต่ำ {@st57}%s{@st41b} Silver{/}	{@st41b}최소 {@st57}%s {@st41b}실버부터 입찰가능{/}				
UI_20150317_000029	{@st41b}ประมูล{/}	{@st41b}입찰{/}				
UI_20150317_000030	{@st43b}ซื้อเลย!{nl}{img icon_item_silver 20 20}{@st57}%s{/}	{@st43b}바로 구매!{nl}{img icon_item_silver 20 20}{@st57}%s{/}				
UI_20150317_000031	{@st44}ตั้งค่าสิทธิ์{/}	{@st44}권한설정{/}				
UI_20150317_000032	{@st45}ชื่อ: %s{/}	{@st45}이름:%s{/}				
UI_20150317_000033	{@st45}คลังเก็บของปาร์ตี้{/}	{@st45}파티 창고{/}				
UI_20150317_000034	{@st49}ไม่มี	{@st49}없음				
UI_20150317_000035	{@st49}ร้านค้า	{@st49}넣기				
UI_20150317_000036	{@st49}รับ	{@st49}가져오기				
UI_20150317_000037	{@st45}สำรวจ{/}	{@st45}설문{/}				
UI_20150317_000038	{@st49}สร้าง	{@st49}작성				
UI_20150317_000039	{@st49}ลบ	{@st49}삭제				
UI_20150317_000040	{@st44}บันทึก{/}	{@st44}저장{/}				
UI_20150317_000041	{@st44}ยกเลิก{/}	{@st44}취소{/}				
UI_20150317_000042	{@st43}{s22}ร้านค้าทรงผม{/}	{@st43}{s22}미용실{/}				
UI_20150317_000043	{@st59}ทรงผมก่อนหน้า{/}	{@st59}이전 머리{/}				
UI_20150317_000044	{@st59}ทรงผมถัดไป{/}	{@st59}다음 머리{/}				
UI_20150317_000045	{@st41b} เปลี่ยน {s18} (ต้องการ 100 TPs) {/}	{@st41b}변경{s18}(NXP 100 필요){/}				
UI_20150317_000046	{@st59}เปลี่ยนทรงผมเป็นแบบที่เลือกไว้{/}	{@st59}선택한 헤어로 변경합니다.{/}				
UI_20150317_000047	{@st41}ยกเลิก	{@st41}해약				
UI_20150317_000048	{@st43}ตลาดมืด{/}	{@st43}블랙 마켓{/}				
UI_20150317_000049	ชื่อหนังสือ	책이름				
UI_20150317_000050	{@St59}เลิกอ่าน{/}	{@st59}독서를 그만둡니다{/}				
UI_20150317_000051	{@st59}หน้าก่อนหน้า{/}	{@st59}이전 페이지{/}				
UI_20150317_000052	{@st59}หน้าถัดไป{/}	{@st59}다음페이지{/}				
UI_20150317_000053	{@st47}%s ปรากฏตัวแล้ว!	{@st47}%s 등장!!				
UI_20150317_000054	{@st43}คะแนน{/}	{@st43}스코어{/}				
UI_20150317_000055	ความเสียหายที่ได้รับ	받은 데미지				
UI_20150317_000056	โบนัสเทคนิค	테크닉 보너스				
UI_20150317_000057	โบนัสหลบหลีก	회피 보너스				
UI_20150317_000058	เวลาผ่านด่าน	클리어 시간				
UI_20150317_000059	คะแนนรวม	총 점수				
UI_20150317_000060	{@st42}เวลาที่ใช้ไป	{@st42}경과 시간				
UI_20150317_000061	10 นาที	10분				
UI_20150317_000062	10 วินาที	10초				
UI_20150317_000063	{@st44}เสร็จสมบูรณ์	{@st44}마감하기				
UI_20150317_000064	{@st59}ปิด{/}	{@st59}자판기를 닫습니다{/}				
UI_20150317_000065	{@st43}ตู้กดบัฟ	{@st43}버프 자판기				
UI_20150317_000066	ชื่อตู้กดบัฟ	자판기 이름				
UI_20150317_000067	{@st43}ลงทะเบียน	{@st43}등록				
UI_20150317_000068	{@st43}ยกเลิก	{@st43}취소				
UI_20150317_000069	ตู้กดบัฟ	버프 자판기				
UI_20150317_000070	{@st59}ปิด	{@st59}버프 자판기를 닫습니다.				
UI_20150317_000071	{@st59}ตู้กดบัฟ{nl} - คุณสามารถใช้ Silver จ่ายแลกกับบัฟจากผู้เล่นอื่นได้	{@st59}버프 자판기{nl} - 실버를 지불해 해당 플레이어에게 버프 기술을 시전받을 수 있습니다.				
UI_20150317_000072	Carriage Menu	마차메뉴				
UI_20150317_000073	{ol}{s22}Disembark{/}	{ol}{s22}내리기{/}				
UI_20150317_000074	กำลังร่าย	캐스팅				
UI_20150317_000075	{@st43}ตั้งค่าเกม{/}	{@st43}게임설정{/}				
UI_20150317_000076	{@st64}ใช้ปุ่มลูกศรเพื่อเลื่อนไปในแต่ละช่อง!	{@st64}방향키를 입력해 셀을 선택하세요!				
UI_20150317_000077	{@st43}ข้อมูลการเลื่อนขั้น {/}	{@st43}전직 정보{/}				
UI_20150317_000078	{@st43}เลือกอาชีพ	{@st43}클래스 선택				
UI_20150317_000079	Psychokinesist	사이코키네스스트				
UI_20150317_000080	{@st42}%s Circle {/}	{@st42}%s 서클{/}				
UI_20150317_000081	How many circles	몇 서클				
UI_20150317_000082	แสดงคำอธิบายโดยย่อของอาชีพนั้น	클래스에 대한 간단한 설명을 이곳에 표시합니다.				
UI_20150317_000083	{@st41b}โจมตี {@sti7}%s{/}	{@st41b}공격력 {@sti7}%s{/}				
UI_20150317_000084	{@st41b}สนับสนุน {@sti7}%s{/}	{@st41b}보조    {@sti7}%s{/}				
UI_20150317_000085	{@st41b}ระดับความยาก{@sti7}%s{/}	{@st41b}난이도 {@sti7}%s{/}				
UI_20150317_000086	{@st59}ปิด{/}	{@st59}클래스 정보 창을 닫습니다{/}				
UI_20150317_000087	แจ้งเตือนการเลื่อนขั้น	전직 가능 알람				
UI_20150317_000088	{@st43} การเลื่อนขั้น	{@st43}클래스 전직				
UI_20150317_000089	{@sti7}{s14} ตัวละคร {/}	{@sti7}{s14}캐릭터{/}				
